losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.00031198114932825166,2.70791158080101,5.9406362955390556e-05,0.7766890997687975,1.3,0.0,1.4,1.0,0,16384
-0.0005963208192648987,2.7070641120274863,0.0038895305090894303,0.15817633271217346,0.9,0.5,1.3,1.0,1,32768
-0.0009987875819206238,2.7030831972757974,0.0012557764409090548,0.18825873670478663,1.8,0.5,2.3,2.0,2,49152
-0.00104567501693964,2.69769420226415,0.002538042344895075,0.18846664018929005,2.2,2.0,1.6,1.5,3,65536
-0.0006148123162953804,2.6915348768234253,0.003935716532093163,0.28640444328387576,0.8,1.0,1.6,1.0,4,81920
-0.0011228321236558259,2.6922810773054757,0.003454672324248046,0.21882103321452936,0.7,0.5,3.1,0.0,5,98304
0.0005587551665181915,2.6807531813780465,0.0076391323097292725,0.28939478906492394,1.1,0.0,2.7,1.5,6,114688
0.0011398405379926164,2.6663849453131356,0.009878530157341933,0.2810325405249993,3.6,1.5,2.0,1.0,7,131072
0.0003133308491669595,2.66390190521876,0.010609291319269687,0.32129437290132046,2.0,2.0,1.7,1.5,8,147456
0.0008166765328496695,2.6574747264385223,0.011627566816362863,0.2812059273322423,1.7,2.0,3.2,2.5,9,163840
-0.0014303149170397471,2.6782220800717673,0.0033501304775806298,0.18899449023107687,1.9,1.0,2.3,3.0,10,180224
-0.0006202460693505903,2.6770197550455728,0.0035655538292000224,0.1785838312158982,2.5,1.5,1.7,1.0,11,196608
8.401548257097602e-05,2.670345147450765,0.005191580131698477,0.21466945856809616,4.0,2.0,2.2,2.0,12,212992
-0.0006257108567903439,2.626871089140574,0.003715180234091046,0.23651908772687116,3.1,2.5,2.1,2.0,13,229376
-0.00018541272341584167,2.6070865790049234,0.004550185309199151,0.3088825047016144,2.2,1.0,4.0,2.5,14,245760
0.0027676842097813883,2.574458122253418,0.013369708891938595,0.4633151702582836,2.1,1.0,2.5,2.5,15,262144
-0.0011815780502123137,2.632037421067556,0.003680728185524155,0.22892246581614017,2.1,2.0,2.2,1.5,16,278528
-0.00025043006947574514,2.6347138484319053,0.007120142515001741,0.2791422748317321,3.4,3.0,2.5,1.5,17,294912
-0.0006470324199957153,2.5825871229171753,0.002922677490763211,0.2991928520301978,2.7,2.0,2.8,2.5,18,311296
-0.0005559177952818573,2.6162344813346863,0.003558588895733313,0.219451063623031,2.5,2.5,1.2,1.0,19,327680
